# Flags:
# - to do
# * to do, called by Tomb1Main
# x unused
# + fully decompiled
#
# Name                          Offset      Size        Flags

# 3dsystem/3d_gen.cpp
HWR_RenderEnd                   0x0040783B  0x00000027  +
HWR_RenderToggle                0x00407862  0x0000001A  +
HWR_GetSurfaceAndPitch          0x0040787C  0x00000095  -
HWR_SetupRenderContextAndRender2 0x00407911  0x0000004E  -
HWR_SetupRenderContextAndRender 0x0040795F  0x0000008A  *
HWR_FlipPrimaryBuffer           0x004079E9  0x00000060  +
HWR_ClearSurface                0x00407A49  0x00000048  +
sub_407A91                      0x00407A91  0x00000141  -
HWR_SetHardwareVideoMode        0x00407BD2  0x00000433  *
HWR_InitialiseHardware          0x00408005  0x0000031E  *
HWR_ShutdownHardware            0x00408323  0x00000029  -
HWR_PrepareFMV                  0x0040834C  0x0000001C  *
HWR_FMVDone                     0x00408368  0x00000017  *
HWR_FMVInit                     0x0040837F  0x0000008A  *
sub_408409                      0x00408409  0x000000D5  x
HWR_DownloadTextures            0x004084DE  0x0000030C  *
HWR_SetPalette                  0x004087EA  0x0000020A  *
HWR_SwitchResolution            0x004089F4  0x0000007C  +
HWR_DumpScreen                  0x00408A70  0x00000057  +
HWR_ClearSurfaceDepth           0x00408AC7  0x00000065  *
HWR_BlitSurface                 0x00408B2C  0x00000059  +
HWR_CopyPicture                 0x00408B85  0x000000B5  *
HWR_DownloadPicture             0x00408C3A  0x000001D4  *
sub_408E0E                      0x00408E0E  0x00000024  -
HWR_FadeWait                    0x00408E32  0x0000000F  *
sub_408E41                      0x00408E41  0x0000002C  x
HWR_RenderTriangleStrip         0x00408E6D  0x0000006B  +
sub_408ED8                      0x00408ED8  0x00000118  -
HWR_SelectTexture               0x00408FF0  0x0000005D  -
HWR_ClipVertices                0x0040904D  0x00000BC2  +
sub_409C0F                      0x00409C0F  0x00000335  -
sub_409F44                      0x00409F44  0x000000D9  -
sub_40A01D                      0x0040A01D  0x000000A7  -
sub_40A0C4                      0x0040A0C4  0x000005ED  -
HWR_ClipVertices2               0x0040A6B1  0x00000E5F  +
sub_40B510                      0x0040B510  0x000006D2  -
sub_40BBE2                      0x0040BBE2  0x00000678  -
sub_40C25A                      0x0040C25A  0x000000F4  -
sub_40C34E                      0x0040C34E  0x000000D7  -
HWR_DrawSprite                  0x0040C425  0x000003C9  *
HWR_Draw2DLine                  0x0040C7EE  0x000000F9  +
HWR_DrawTranslucentQuad         0x0040C8E7  0x000001F4  +
HWR_PrintShadow                 0x0040CADB  0x00000182  -
HWR_RenderLightningSegment      0x0040CC5D  0x000003F9  +
HWR_DrawLightningSegment        0x0040D056  0x000000A1  +
HWR_InitPolyList                0x0040D0F7  0x00000049  -
HWR_CacheTexture                0x0040D140  0x000001A0  -
HWR_OutputPolyList              0x0040D2E0  0x00000185  *
DoNothing                       0x0040D465  0x00000005  -

# bat.cpp
BatControl                      0x0040D470  0x00000184  +

# bear.cpp
BearControl                     0x0040D600  0x00000416  +

# box.cpp
InitialiseCreature              0x0040DA60  0x00000033  +
CreatureAIInfo                  0x0040DAA0  0x00000224  +
SearchLOT                       0x0040DCD0  0x000001F9  +
UpdateLOT                       ----------  ----------  +
TargetBox                       ----------  ----------  +
StalkBox                        0x0040DED0  0x000000CE  +
EscapeBox                       ----------  ----------  +
ValidBox                        0x0040DFA0  0x00000097  +
CreatureMood                    0x0040E040  0x000007D5  +
CalculateTarget                 0x0040E850  0x000004D1  +
CreatureCreature                0x0040ED30  0x00000107  +
BadFloor                        0x0040EE40  0x00000092  +
CreatureAnimation               0x0040EEE0  0x00000863  +
CreatureTurn                    0x0040F750  0x000000D5  +
CreatureTilt                    0x0040F830  0x00000035  +
CreatureHead                    0x0040F870  0x00000049  +
CreatureEffect                  0x0040F8C0  0x0000005C  +

# camera.cpp
InitialiseCamera                0x0040F920  0x0000008B  +
MoveCamera                      0x0040F9B0  0x000002E5  +
ClipCamera                      0x0040FCA0  0x00000096  +
ShiftCamera                     0x0040FD40  0x0000015C  +
BadPosition                     ----------  ----------  +
SmartShift                      0x0040FEA0  0x00000567  +
ChaseCamera                     0x00410410  0x00000118  +
ShiftClamp                      0x00410530  0x00000279  +
CombatCamera                    0x004107B0  0x00000138  +
LookCamera                      0x004108F0  0x0000024B  +
FixedCamera                     ----------  ----------  +
CalculateCamera                 0x00410B40  0x0000055D  +

# cinema.cpp
LoopCinematic                   ----------  ----------  -
StartCinematic                  0x004110A0  0x00000183  +
InitCinematicRooms              ----------  ----------  +
DoCinematic                     0x00411240  0x0000012B  +
CalculateCinematicCamera        0x00411370  0x00000124  +
ControlCinematicPlayer          0x004114A0  0x00000045  +
ControlCinematicPlayer4         ----------  ----------  +
InitialisePlayer1               0x004114F0  0x000000CD  +
InitialiseGenPlayer             0x004115C0  0x00000027  +
InGameCinematicCamera           0x004115F0  0x00000190  +

# collide.cpp
GetCollisionInfo                0x00411780  0x000007DD  +
FindGridShift                   ----------  ----------  +
CollideStaticObjects            0x00411FA0  0x000003D6  +
GetNearByRooms                  0x00412390  0x000002CC  +
GetNewRoom                      ----------  ----------  +
ShiftItem                       0x00412660  0x00000037  +
UpdateLaraRoom                  0x004126A0  0x0000005F  +
GetTiltType                     ----------  ----------  +
LaraBaddieCollision             0x00412700  0x00000209  +
EffectSpaz                      ----------  ----------  +
CreatureCollision               0x00412910  0x00000078  +
ObjectCollision                 0x00412990  0x00000059  +
DoorCollision                   0x004129F0  0x0000007B  +
TrapCollision                   0x00412A70  0x00000096  +
ItemPushLara                    0x00412B10  0x00000335  +
TestBoundsCollide               0x00412E50  0x000000D1  +
TestLaraPosition                0x00412F30  0x00000137  +
AlignLaraPosition               0x00413070  0x000000C1  +
MoveLaraPosition                0x00413140  0x000000E4  +
Move3DPosTo3DPos                0x00413230  0x00000172  +

# control.cpp
ControlPhase                    0x004133B0  0x000002B0  +
AnimateItem                     0x00413660  0x000002C6  +
GetChange                       0x00413960  0x000000AB  +
TranslateItem                   0x00413A10  0x00000067  +
GetFloor                        0x00413A80  0x000001D4  +
GetWaterHeight                  0x00413C60  0x000000FE  +
GetHeight                       0x00413D60  0x0000022A  +
RefreshCamera                   0x00413FA0  0x000000D4  +
TestTriggers                    0x00414080  0x0000074E  +
TriggerActive                   0x00414820  0x00000055  +
GetCeiling                      0x00414880  0x0000024B  +
GetDoor                         0x00414AE0  0x0000004E  +
LOS                             0x00414B30  0x000000A0  +
zLOS                            0x00414BD0  0x00000272  +
xLOS                            0x00414E50  0x00000270  +
ClipTarget                      0x004150C0  0x000000DC  +
FlipMap                         0x004151A0  0x0000016F  +
RemoveRoomFlipItems             ----------  ----------  +
AddRoomFlipItems                ----------  ----------  +
TriggerCDTrack                  0x00415310  0x000001D2  +
TriggerNormalCDTrack            ----------  ----------  +

# croc.cpp
AlligatorControl                0x00415520  0x00000326  +
CrocControl                     0x00415850  0x0000030C  +

# demo.cpp
StartDemo                       0x00415B70  0x00000140  +
LoadLaraDemoPos                 0x00415CB0  0x000000BF  +
GetDemoInput                    0x00415D70  0x0000002D  +

# dino.cpp
RaptorControl                   0x00415DA0  0x00000330  +
DinoControl                     0x004160F0  0x0000028F  +
LaraDinoDeath                   0x004163A0  0x000000C1  +

# shell/display.cpp
IncreaseScreenSize              ----------  ----------  -
DecreaseScreenSize              ----------  ----------  -
SetupScreenSize                 0x00416470  0x000000D4  +
switch_resolution               ----------  ----------  -
TempVideoAdjust                 0x00416550  0x00000277  +
TempVideoRemove                 0x004167D0  0x00000289  +
S_CopyScreenToBuffer            ----------  ----------  -
S_CopyBufferToScreen            0x00416A60  0x000000A7  *
S_NoFade                        0x00416B10  0x00000010  +
S_FadeInInventory               0x00416B20  0x00000082  +
S_FadeOutInventory              0x00416BB0  0x00000027  +
FadeToPal                       ----------  ----------  -
ScreenPartialDump               ----------  ----------  -

# draw.cpp
DrawPhaseCinematic              0x00416BE0  0x00000090  +
DrawPhaseGame                   0x00416C70  0x00000037  +
DrawRooms                       0x00416CB0  0x00000173  +
GetRoomBounds                   0x00416E30  0x0000007D  +
SetRoomBounds                   0x00416EB0  0x0000032E  +
PrintRooms                      0x004171E0  0x0000021A  +
DrawEffect                      0x00417400  0x00000107  +
DrawSpriteItem                  0x00417510  0x00000035  +
DrawDummyItem                   ----------  ----------  +
DrawAnimatingItem               0x00417550  0x00000541  +
DrawLara                        0x00417AA0  0x00000AEF  +
DrawGunFlash                    ----------  ----------  +
CalculateObjectLighting         0x004185B0  0x000000C9  +
DrawLaraInt                     0x00418680  0x000013C6  +
InitInterpolate                 ----------  ----------  +
phd_PopMatrix_I                 ----------  ----------  +
phd_PushMatrix_I                ----------  ----------  +
phd_RotY_I                      ----------  ----------  +
phd_RotX_I                      ----------  ----------  +
phd_RotZ_I                      ----------  ----------  +
phd_TranslateRel_I              ----------  ----------  +
phd_TranslateRel_ID             ----------  ----------  +
phd_RotYXZ_I                    ----------  ----------  +
phd_RotYXZpack_I                ----------  ----------  +
phd_PutPolygons_I               ----------  ----------  +
InterpolateMatrix               0x00419A60  0x000001CD  +
InterpolateArmMatrix            0x00419C30  0x000000FC  +
GetFrames                       0x00419D30  0x00000099  +
GetBoundsAccurate               0x00419DD0  0x0000007C  +
GetBestFrame                    0x00419E50  0x00000035  +

# ?????
SoundInit                       0x00419E90  0x000000C0  +
SoundMakeSample                 0x00419F50  0x000001CA  +
sub_41A120                      0x0041A120  0x000000A1  +
SoundSampleIsPlaying_           0x0041A1D0  0x00000027  +
SoundStopSample_                0x0041A200  0x0000000F  +

# effects.cpp
ItemNearLara                    0x0041A210  0x0000008C  +
SoundEffects                    0x0041A2A0  0x0000006D  +
DoBloodSplat                    0x0041A310  0x00000059  +
ControlBlood1                   0x0041A370  0x0000008B  +
ControlExplosion1               0x0041A400  0x0000004C  +
Ricochet                        0x0041A450  0x00000072  +
ControlRicochet1                0x0041A4D0  0x00000030  +
Twinkle                         ----------  ----------  +
ControlTwinkle                  0x0041A500  0x0000004C  +
ItemSparkle                     0x0041A550  0x00000115  +
FxLaraBubbles                   0x0041A670  0x000000E8  +
ControlBubble1                  0x0041A760  0x000000FF  +
Splash                          0x0041A860  0x000000CD  +
ControlSplash1                  0x0041A930  0x0000007A  +
ControlWaterFall                0x0041A9B0  0x00000120  +
FxVoid                          ----------  ----------  x
FxFinishLevel                   0x0041AAD0  0x0000000B  +
FxTurn180                       0x0041AAE0  0x0000000B  +
FxDinoStomp                     0x0041AAF0  0x00000096  +
FxLaraNormal                    0x0041AB90  0x00000035  +
FxEarthQuake                    0x0041ABD0  0x00000076  +
FxFlood                         0x0041AC50  0x0000008F  +
FxRaisingBlock                  0x0041ACE0  0x00000019  +
FxChainBlock                    0x0041AD00  0x00000043  +
FxStairs2Slope                  0x0041AD50  0x00000028  +
FxSand                          0x0041AD80  0x0000007F  +
FxPowerUp                       0x0041AE00  0x0000006A  +
FxExplosion                     0x0041AE70  0x00000026  +
FxFlicker                       0x0041AEA0  0x0000004A  +
FxLaraHandsFree                 0x0041AEF0  0x0000000A  +
FxFlipMap                       0x0041AF00  0x00000005  +
FxDrawRightGun                  0x0041AF10  0x0000007E  +

# shell/file.cpp
S_LoadLevel                     0x0041AF90  0x00000016  +
LoadLevel                       0x0041AFB0  0x00000432  +
LoadRooms                       0x0041B3F0  0x00000311  +
LoadObjects                     0x0041B710  0x0000043F  +
LoadSprites                     0x0041BB50  0x00000102  +
LoadItems                       0x0041BC60  0x0000019D  +
LoadDepthQ                      ----------  ----------  +
LoadPalette                     ----------  ----------  +
LoadCameras                     ----------  ----------  +
LoadSoundEffects                ----------  ----------  +
LoadBoxes                       0x0041BE00  0x000001B5  +
LoadAnimatedTextures            ----------  ----------  +
LoadCinematic                   ----------  ----------  +
LoadDemo                        ----------  ----------  +
LoadTexturePages                ----------  ----------  +
GetFullPath                     0x0041BFC0  0x00000053  +
FindCdDrive                     0x0041C020  0x000000C7  +

# shell/frontend.cpp
S_Colour                        0x0041C0F0  0x00000089  +
S_DrawScreenSprite2d            0x0041C180  0x00000150  +
S_DrawScreenSprite              0x0041C2D0  0x00000163  +
S_DrawScreenLine                0x0041C440  0x000000D3  +
S_DrawScreenBox                 0x0041C520  0x00000688  +
S_DrawScreenFBox                0x0041CBB0  0x00000101  +
S_FinishInventory               0x0041CCC0  0x00000047  +
S_FadeToBlack                   0x0041CD10  0x0000003F  +
S_Wait                          0x0041CD50  0x0000004D  +
FMVInit                         0x0041CDA0  0x00000045  +
WinPlayFMV                      0x0041CDF0  0x00000250  +
S_PlayFMV                       0x0041D040  0x0000007C  +

# game.cpp
StartGame                       0x0041D0C0  0x000001CA  +
GameLoop                        0x0041D2C0  0x00000065  +
LevelCompleteSequence           0x0041D330  0x0000021C  +
LevelStats                      0x0041D5A0  0x00000346  +
GetRandomControl                0x0041D8F0  0x0000001E  +
SeedRandomControl               0x0041D910  0x0000000A  +
GetRandomDraw                   0x0041D920  0x0000001E  +
SeedRandomDraw                  0x0041D940  0x0000000A  +
LevelIsValid                    0x0041D950  0x0000005C  +
GetSavedGamesList               0x0041D9B0  0x00000060  +
S_FrontEndCheck                 0x0041DA20  0x00000141  +
S_SaveGame                      0x0041DB70  0x000000FD  +
S_LoadGame                      0x0041DC70  0x00000086  +

# health.cpp
DrawGameInfo                    0x0041DD00  0x00000199  +
DrawHealthBar                   0x0041DEA0  0x00000075  +
MakeAmmoString                  0x0041DF20  0x00000028  +
DrawAmmoInfo                    0x0041DF50  0x00000133  +
InitialisePickUpDisplay         0x0041E0A0  0x00000015  +
DrawPickups                     ----------  ----------  +
AddDisplayPickup                0x0041E0C0  0x0000003F  +

# shell/init.cpp
S_OnWindowResized               ----------  ----------  -
S_InitialiseSystem              0x0041E100  0x0000015B  +
S_ExitSystem                    0x0041E260  0x00000051  +
init_game_malloc                0x0041E2C0  0x00000021  +
game_malloc                     0x0041E2F0  0x000000B1  +
game_free                       0x0041E3B0  0x0000002F  +
CalculateWibbleTable            ----------  ----------  +
S_SeedRandom                    ----------  ----------  +

# shell/input.cpp
Key                             0x0041E3E0  0x00000166  +
GetJoystickButtonName           ----------  ----------  -
JoyRead                         ----------  ----------  -
S_UpdateInput                   0x0041E550  0x00000210  +

# inventry.cpp
Display_Inventory               0x0041E760  0x00001159  +
Construct_Inventory             0x0041F980  0x0000012D  +
SelectMeshes                    0x0041FAB0  0x00000089  +
AnimateInventoryItem            ----------  ----------  +
DrawInventoryItem               0x0041FB40  0x000003A0  +
GetDebouncedInput               ----------  ----------  +

# invfunc.cpp
InitColours                     0x0041FEF0  0x0000010A  +
RingIsOpen                      0x00420000  0x0000014D  +
RingIsNotOpen                   0x00420150  0x00000076  +
RingNotActive                   0x004201D0  0x0000069E  +
RingActive                      0x00420980  0x00000039  +
Inv_AddItem                     0x004209C0  0x00000620  +
Inv_InsertItem                  0x004210D0  0x00000129  +
Inv_RequestItem                 0x00421200  0x00000077  +
Inv_RemoveAllItems              0x00421280  0x0000001E  +
Inv_RemoveItem                  0x004212A0  0x00000110  +
Inv_GetItemOption               0x004213B0  0x000000A7  +
RemoveInventoryText             0x00421550  0x00000028  +
Inv_RingInit                    0x00421580  0x0000017E  +
Inv_RingGetView                 0x00421700  0x00000060  +
Inv_RingLight                   0x00421760  0x00000040  +
Inv_RingCalcAdders              0x004217A0  0x0000002C  +
Inv_RingDoMotions               0x004217D0  0x0000013E  +
Inv_RingRotateLeft              0x00421910  0x0000002F  +
Inv_RingRotateRight             0x00421940  0x0000002F  +
Inv_RingMotionInit              ----------  ----------  +
Inv_RingMotionSetup             0x00421970  0x0000002C  +
Inv_RingMotionRadius            0x004219A0  0x00000026  +
Inv_RingMotionRotation          0x004219D0  0x00000022  +
Inv_RingMotionCameraPos         0x00421A00  0x00000025  +
Inv_RingMotionCameraPitch       0x00421A30  0x00000020  +
Inv_RingMotionItemSelect        0x00421A50  0x00000057  +
Inv_RingMotionItemDeselect      0x00421AB0  0x00000055  +

# items.cpp
InitialiseItemArray             0x00421B10  0x00000040  +
KillItem                        0x00421B50  0x00000121  +
CreateItem                      0x00421C80  0x0000003D  +
InitialiseItem                  0x00421CC0  0x000001EE  +
RemoveActiveItem                0x00421EB0  0x000000A6  +
RemoveDrawnItem                 0x00421F60  0x00000080  +
AddActiveItem                   0x00421FE0  0x00000080  +
ItemNewRoom                     0x00422060  0x000000A4  +
SpawnItem                       0x00422110  0x000000B6  +
GlobalItemReplace               0x004221D0  0x00000080  +
InitialiseFXArray               0x00422250  0x00000030  +
CreateEffect                    0x00422280  0x00000069  +
KillEffect                      0x004222F0  0x000000E4  +
EffectNewRoom                   0x004223E0  0x00000096  +

# lara.cpp
LaraAboveWater                  0x00422480  0x0000016B  +
LaraAsWalk                      0x004225F0  0x0000007A  +
LaraAsRun                       0x00422670  0x000000ED  +
LaraAsStop                      0x00422760  0x00000207  +
LaraAsForwardJump               0x00422970  0x000000B7  +
LaraAsPose                      ----------  ----------  +
LaraAsFastBack                  0x00422A30  0x00000057  +
LaraAsTurnR                     0x00422A90  0x00000076  +
LaraAsTurnL                     0x00422B10  0x00000076  +
LaraAsDeath                     ----------  ----------  +
LaraAsFastFall                  0x00422B90  0x00000040  +
LaraAsHang                      0x00422BD0  0x00000049  +
LaraAsReach                     0x00422C20  0x0000001C  +
LaraAsSplat                     ----------  ----------  +
LaraAsLand                      ----------  ----------  +
LaraAsCompress                  0x00422C40  0x0000026D  +
LaraAsBack                      0x00422EB0  0x0000007D  +
LaraAsNull                      ----------  ----------  +
LaraAsFastTurn                  0x00422F30  0x0000004B  +
LaraAsStepRight                 0x00422F80  0x00000073  +
LaraAsStepLeft                  0x00423000  0x00000073  +
LaraAsSlide                     0x00423080  0x00000027  +
LaraAsBackJump                  0x004230B0  0x0000001C  +
LaraAsRightJump                 0x004230D0  0x00000013  +
LaraAsLeftJump                  ----------  ----------  +
LaraAsUpJump                    ----------  ----------  +
LaraAsFallBack                  0x004230F0  0x0000002C  +
LaraAsHangLeft                  0x00423120  0x00000035  +
LaraAsHangRight                 0x00423160  0x00000035  +
LaraAsSlideBack                 0x004231A0  0x00000014  +
LaraAsPushBlock                 0x004231C0  0x00000027  +
LaraAsPullBlock                 ----------  ----------  +
LaraAsPPReady                   0x004231F0  0x00000027  +
LaraAsPickup                    0x00423220  0x00000027  +
LaraAsSwitchOn                  0x00423250  0x00000027  +
LaraAsSwitchOff                 ----------  ----------  +
LaraAsUseKey                    0x00423280  0x00000027  +
LaraAsUsePuzzle                 ----------  ----------  +
LaraAsRoll                      ----------  ----------  +
LaraAsRoll2                     ----------  ----------  +
LaraAsSpecial                   0x004232B0  0x0000001D  +
LaraAsUseMidas                  0x004232D0  0x0000001D  +
LaraAsDieMidas                  0x004232F0  0x0000030C  +
LaraAsSwanDive                  0x00423720  0x00000028  +
LaraAsFastDive                  0x00423750  0x0000003D  +
LaraAsGymnast                   0x00423790  0x0000000B  +
LaraAsWaterOut                  0x004237A0  0x00000015  +
LaraColWalk                     0x004237C0  0x00000228  +
LaraColRun                      0x004239F0  0x00000210  +
LaraColStop                     0x00423C00  0x000000FC  +
LaraColForwardJump              0x00423D00  0x000000C3  +
LaraColPose                     ----------  ----------  +
LaraColFastBack                 0x00423DD0  0x0000016D  +
LaraColTurnR                    0x00423F40  0x000000AA  +
LaraColTurnL                    ----------  ----------  +
LaraColDeath                    0x00423FF0  0x0000007E  +
LaraColFastFall                 0x00424070  0x00000148  +
LaraColHang                     0x004241F0  0x0000006A  +
LaraColReach                    0x00424260  0x0000014D  +
LaraColSplat                    0x004243F0  0x00000064  +
LaraColLand                     0x00424460  0x00000013  +
LaraColCompress                 0x00424480  0x00000096  +
LaraColBack                     0x00424520  0x00000170  +
LaraColNull                     ----------  ----------  +
LaraColFastTurn                 ----------  ----------  +
LaraColStepRight                0x00424690  0x00000136  +
LaraColStepLeft                 0x004247D0  0x00000136  +
LaraColSlide                    0x00424910  0x0000001E  +
LaraColBackJump                 0x00424930  0x000000A2  +
LaraColRightJump                0x004249E0  0x000000A2  +
LaraColLeftJump                 0x00424A90  0x000000A2  +
LaraColUpJump                   0x00424B40  0x00000149  +
LaraColFallBack                 0x00424CD0  0x000000A3  +
LaraColHangLeft                 0x00424D80  0x00000033  +
LaraColHangRight                0x00424DC0  0x00000033  +
LaraColSlideBack                0x00424E00  0x00000023  +
LaraColPushBlock                ----------  ----------  +
LaraColPullBlock                ----------  ----------  +
LaraColPPReady                  ----------  ----------  +
LaraColPickup                   ----------  ----------  +
LaraColSwitchOn                 ----------  ----------  +
LaraColSwitchOff                ----------  ----------  +
LaraColUseKey                   ----------  ----------  +
LaraColUsePuzzle                ----------  ----------  +
LaraColRoll                     0x00424E90  0x00000100  +
LaraColRoll2                    0x00424F90  0x00000104  +
LaraColSpecial                  ----------  ----------  +
LaraColUseMidas                 ----------  ----------  +
LaraColDieMidas                 ----------  ----------  +
LaraColSwanDive                 0x004250A0  0x00000089  +
LaraColFastDive                 0x00425130  0x00000099  +
LaraColGymnast                  ----------  ----------  +
LaraColWaterout                 ----------  ----------  +
LaraColDefault                  0x00424E30  0x00000056  +
LaraColJumper                   ----------  ----------  +
LaraGetCollisionInfo            ----------  ----------  +
LaraSlideSlope                  0x004251D0  0x00000176  +
LaraHitCeiling                  ----------  ----------  +
LaraHangTest                    0x00425350  0x00000229  +
LaraDeflectEdge                 ----------  ----------  +
LaraDeflectEdgeJump             0x004255A0  0x000000E4  +
LaraSlideEdgeJump               ----------  ----------  +
TestLaraVault                   0x004256C0  0x000001C8  +
LaraTestHangJump                0x00425890  0x0000024B  +
TestHangSwingIn                 ----------  ----------  +
LaraTestHangJumpUp              0x00425AE0  0x0000016A  +
TestLaraSlide                   0x00425C50  0x0000011A  +
LaraFloorFront                  ----------  ----------  +
LaraLandedBad                   0x00425D70  0x000000BE  +

# lara1gun.cpp
DrawShotgun                     0x00425E30  0x00000113  +
UndrawShotgun                   0x00425F50  0x00000160  +
draw_shotgun_meshes             ----------  ----------  +
undraw_shotgun_meshes           ----------  ----------  +
ready_shotgun                   ----------  ----------  +
RifleHandler                    0x004260F0  0x00000373  +
AnimateShotgun                  ----------  ----------  +
FireShotgun                     ----------  ----------  +

# lara2gun.cpp
DrawPistols                     0x00426470  0x00000147  +
UndrawPistols                   0x004265C0  0x00000261  +
ready_pistols                   ----------  ----------  +
DrawPistolMeshes                0x00426830  0x00000061  +
undraw_pistol_mesh_left         ----------  ----------  +
undraw_pistol_mesh_right        ----------  ----------  +
PistolHandler                   0x004268A0  0x0000012E  +
AnimatePistols                  0x004269D0  0x000001F5  +

# larafire.cpp
LaraGun                         0x00426BD0  0x00000271  +
InitialiseNewWeapon             0x00426E60  0x000000B9  +
LaraTargetInfo                  0x00426F20  0x00000194  +
LaraGetNewTarget                0x004270C0  0x000001D9  +
find_target_point               0x004272A0  0x000000B2  +
AimWeapon                       0x00427360  0x000000C1  +
FireWeapon                      0x00427430  0x000002F2  +
HitTarget                       0x00427730  0x000000E5  +

# laramisc.cpp
LaraControl                     0x00427850  0x00000372  +
LaraSwapMeshExtra               0x00427BD0  0x00000030  +
AnimateLara                     0x00427C00  0x00000244  +
UseItem                         0x00427E80  0x000000F8  +
ControlLaraExtra                0x00427FD0  0x0000001F  +
InitialiseLaraLoad              0x00427FF0  0x00000024  +
InitialiseLara                  0x00428020  0x00000150  +
InitialiseLaraInventory         0x00428170  0x000001C8  +
LaraInitialiseMeshes            0x00428340  0x000000DD  +
InitialiseEvilLara              0x00428420  0x00000025  +
ControlEvilLara                 0x00428450  0x00000221  +
DrawEvilLara                    0x00428680  0x00000058  +

# larasurf.cpp
LaraSurface                     0x004286E0  0x000001B2  +
LaraAsSurfSwim                  0x004288A0  0x00000070  +
LaraAsSurfBack                  0x00428910  0x0000005E  +
LaraAsSurfLeft                  0x00428970  0x00000060  +
LaraAsSurfRight                 0x004289D0  0x00000060  +
LaraAsSurfTread                 0x00428A30  0x00000178  +
LaraColSurfSwim                 ----------  ----------  +
LaraColSurfTread                0x00428BB0  0x0000001E  +
LaraColSurfBack                 0x00428BD0  0x00000023  +
LaraColSurfLeft                 0x00428C00  0x00000023  +
LaraColSurfRight                0x00428C30  0x00000023  +
LaraSurfaceCollision            0x00428C60  0x000000E6  +
LaraTestWaterClimbOut           0x00428D50  0x000001B1  +

# laraswim.cpp
LaraUnderWater                  0x00428F10  0x000001AD  +
LaraAsSwim                      0x004290C0  0x00000080  +
LaraAsGlide                     0x00429140  0x0000008A  +
LaraAsTread                     0x004291D0  0x0000007C  +
LaraAsDive                      0x00429250  0x00000014  +
LaraAsUWDeath                   0x00429270  0x0000004A  +
